,Name,Industry,Location Link,Size (Employees),HQ,Founded,Typr of Company,Revenue,Website,Competitors,Overall Rating,Reviews Count,Jobs Count,Salaries Count,Interviews Count,Benefits Count,Photos Count,Reviews URL,Salaries URL,Jobs URL,Benifits URL,Photos URL,Interview URL,FAQ URL,Overview URL
0,Tata Consultancy Services,Computer Hardware Development,https://www.glassdoor.co.in/Location/All-Tata-Consultancy-Services-Office-Locations-E13461.htm,10000+ Employees,"Mumbai, India",1968,Company - Public (TCSN),$10+ billion (USD),http://www.tcs.com,"Accenture, IBM, Infosys",3.9,"116,527",598,"127,647","16,813","22,063",966,https://www.glassdoor.co.in/Reviews/Tata-Consultancy-Services-Reviews-E13461.htm,https://www.glassdoor.co.in/Salary/Tata-Consultancy-Services-Salaries-E13461.htm,https://www.glassdoor.co.in/Jobs/Tata-Consultancy-Services-Jobs-E13461.htm,https://www.glassdoor.co.in/Benefits/Tata-Consultancy-Services-Benefits-E13461.htm,https://www.glassdoor.co.in/Photos/Tata-Consultancy-Services-Office-Photos-E13461.htm,https://www.glassdoor.co.in/Interview/Tata-Consultancy-Services-Interview-Questions-E13461.htm,https://www.glassdoor.co.in/FAQ/Tata-Consultancy-Services-Questions-E13461.htm,https://www.glassdoor.co.in/Overview/Working-at-Tata-Consultancy-Services-EI_IE13461.htm
1,Accenture,Business Consulting,https://www.glassdoor.co.in/Location/All-Accenture-Office-Locations-E4138.htm,10000+ Employees,"Dublin, Ireland",1989,Company - Public (ACN),$10+ billion (USD),http://www.accenture.com,None,4.1,"135,121","32,796","140,774","24,215","31,011",942,https://www.glassdoor.co.in/Reviews/Accenture-Reviews-E4138.htm,https://www.glassdoor.co.in/Salary/Accenture-Salaries-E4138.htm,https://www.glassdoor.co.in/Jobs/Accenture-Jobs-E4138.htm,https://www.glassdoor.co.in/Benefits/Accenture-Benefits-E4138.htm,https://www.glassdoor.co.in/Photos/Accenture-Office-Photos-E4138.htm,https://www.glassdoor.co.in/Interview/Accenture-Interview-Questions-E4138.htm,https://www.glassdoor.co.in/FAQ/Accenture-Questions-E4138.htm,https://www.glassdoor.co.in/Overview/Working-at-Accenture-EI_IE4138.htm
2,Infosys,Information Technology Support Services,https://www.glassdoor.co.in/Location/All-Infosys-Office-Locations-E7927.htm,10000+ Employees,"Bangalore, India",1981,Company - Public (INFY),$10+ billion (USD),http://www.infosys.com,None,3.9,"88,543","2,872","167,708","14,803","14,333","1,392",https://www.glassdoor.co.in/Reviews/Infosys-Reviews-E7927.htm,https://www.glassdoor.co.in/Salary/Infosys-Salaries-E7927.htm,https://www.glassdoor.co.in/Jobs/Infosys-Jobs-E7927.htm,https://www.glassdoor.co.in/Benefits/Infosys-Benefits-E7927.htm,https://www.glassdoor.co.in/Photos/Infosys-Office-Photos-E7927.htm,https://www.glassdoor.co.in/Interview/Infosys-Interview-Questions-E7927.htm,https://www.glassdoor.co.in/FAQ/Infosys-Questions-E7927.htm,https://www.glassdoor.co.in/Overview/Working-at-Infosys-EI_IE7927.htm
3,Amazon,Internet & Web Services,https://www.glassdoor.co.in/Location/All-Amazon-Office-Locations-E6036.htm,10000+ Employees,"Seattle, WA",1994,Company - Public (AMZN),$10+ billion (USD),http://www.amazon.jobs,None,4.3,"152,910","8,457","178,777","45,605","27,722",859,https://www.glassdoor.co.in/Reviews/Amazon-Reviews-E6036.htm,https://www.glassdoor.co.in/Salary/Amazon-Salaries-E6036.htm,https://www.glassdoor.co.in/Jobs/Amazon-Jobs-E6036.htm,https://www.glassdoor.co.in/Benefits/Amazon-Benefits-E6036.htm,https://www.glassdoor.co.in/Photos/Amazon-Office-Photos-E6036.htm,https://www.glassdoor.co.in/Interview/Amazon-Interview-Questions-E6036.htm,https://www.glassdoor.co.in/FAQ/Amazon-Questions-E6036.htm,https://www.glassdoor.co.in/Overview/Working-at-Amazon-EI_IE6036.htm
4,Cognizant Technology Solutions,Information Technology Support Services,https://www.glassdoor.co.in/Location/All-Cognizant-Technology-Solutions-Office-Locations-E8014.htm,10000+ Employees,"Teaneck, NJ",1994,Company - Public (CTSH),$10+ billion (USD),http://www.cognizant.com,"Tata Consultancy Services, Accenture, Capgemini",3.9,"81,813","5,291","120,202","12,449","15,674",794,https://www.glassdoor.co.in/Reviews/Cognizant-Technology-Solutions-Reviews-E8014.htm,https://www.glassdoor.co.in/Salary/Cognizant-Technology-Solutions-Salaries-E8014.htm,https://www.glassdoor.co.in/Jobs/Cognizant-Technology-Solutions-Jobs-E8014.htm,https://www.glassdoor.co.in/Benefits/Cognizant-Technology-Solutions-Benefits-E8014.htm,https://www.glassdoor.co.in/Photos/Cognizant-Technology-Solutions-Office-Photos-E8014.htm,https://www.glassdoor.co.in/Interview/Cognizant-Technology-Solutions-Interview-Questions-E8014.htm,https://www.glassdoor.co.in/FAQ/Cognizant-Technology-Solutions-Questions-E8014.htm,https://www.glassdoor.co.in/Overview/Working-at-Cognizant-Technology-Solutions-EI_IE8014.htm
5,Deloitte,Accounting & Tax,https://www.glassdoor.co.in/Location/All-Deloitte-Office-Locations-E2763.htm,10000+ Employees,"Hyderābād, India",1850,Company - Private,$10+ billion (USD),https://www2.deloitte.com/ui/en.html,None,4.1,"90,177","70,224","218,972","21,789","18,991",683,https://www.glassdoor.co.in/Reviews/Deloitte-Reviews-E2763.htm,https://www.glassdoor.co.in/Salary/Deloitte-Salaries-E2763.htm,https://www.glassdoor.co.in/Jobs/Deloitte-Jobs-E2763.htm,https://www.glassdoor.co.in/Benefits/Deloitte-Benefits-E2763.htm,https://www.glassdoor.co.in/Photos/Deloitte-Office-Photos-E2763.htm,https://www.glassdoor.co.in/Interview/Deloitte-Interview-Questions-E2763.htm,https://www.glassdoor.co.in/FAQ/Deloitte-Questions-E2763.htm,https://www.glassdoor.co.in/Overview/Working-at-Deloitte-EI_IE2763.htm
6,IBM,Information Technology Support Services,https://www.glassdoor.co.in/Location/All-IBM-Office-Locations-E354.htm,10000+ Employees,"Bangalore, India",1911,Company - Public (IBM),$10+ billion (USD),https://www.ibm.com/in-en,None,4.1,"98,846","7,251","129,639","13,235","25,880",877,https://www.glassdoor.co.in/Reviews/IBM-Reviews-E354.htm,https://www.glassdoor.co.in/Salary/IBM-Salaries-E354.htm,https://www.glassdoor.co.in/Jobs/IBM-Jobs-E354.htm,https://www.glassdoor.co.in/Benefits/IBM-Benefits-E354.htm,https://www.glassdoor.co.in/Photos/IBM-Office-Photos-E354.htm,https://www.glassdoor.co.in/Interview/IBM-Interview-Questions-E354.htm,https://www.glassdoor.co.in/FAQ/IBM-Questions-E354.htm,https://www.glassdoor.co.in/Overview/Working-at-IBM-EI_IE354.htm
7,Capgemini,Enterprise Software & Network Solutions,https://www.glassdoor.co.in/Location/All-Capgemini-Office-Locations-E3803.htm,10000+ Employees,"Paris, France",1967,Company - Public,$10+ billion (USD),http://www.capgemini.com/in-en,None,4.0,"63,321","9,539","58,775","13,852","10,275",470,https://www.glassdoor.co.in/Reviews/Capgemini-Reviews-E3803.htm,https://www.glassdoor.co.in/Salary/Capgemini-Salaries-E3803.htm,https://www.glassdoor.co.in/Jobs/Capgemini-Jobs-E3803.htm,https://www.glassdoor.co.in/Benefits/Capgemini-Benefits-E3803.htm,https://www.glassdoor.co.in/Photos/Capgemini-Office-Photos-E3803.htm,https://www.glassdoor.co.in/Interview/Capgemini-Interview-Questions-E3803.htm,https://www.glassdoor.co.in/FAQ/Capgemini-Questions-E3803.htm,https://www.glassdoor.co.in/Overview/Working-at-Capgemini-EI_IE3803.htm
8,Wipro,Information Technology Support Services,https://www.glassdoor.co.in/Location/All-Wipro-Office-Locations-E9936.htm,10000+ Employees,"Bangalore, India",1945,Company - Public (WIT),$5 to $10 billion (USD),http://www.wipro.com,None,3.8,"50,200","2,620","73,989","12,370","9,701",645,https://www.glassdoor.co.in/Reviews/Wipro-Reviews-E9936.htm,https://www.glassdoor.co.in/Salary/Wipro-Salaries-E9936.htm,https://www.glassdoor.co.in/Jobs/Wipro-Jobs-E9936.htm,https://www.glassdoor.co.in/Benefits/Wipro-Benefits-E9936.htm,https://www.glassdoor.co.in/Photos/Wipro-Office-Photos-E9936.htm,https://www.glassdoor.co.in/Interview/Wipro-Interview-Questions-E9936.htm,https://www.glassdoor.co.in/FAQ/Wipro-Questions-E9936.htm,https://www.glassdoor.co.in/Overview/Working-at-Wipro-EI_IE9936.htm
9,EY,Accounting & Tax,None,10000+ Employees,"London, United Kingdom",1989,Company - Private,$10+ billion (USD),http://www.ey.com,"Deloitte, KPMG, PwC",3.9,"64,747","23,068","95,942","14,466","12,496",448,https://www.glassdoor.co.in/Reviews/EY-Reviews-E2784.htm,https://www.glassdoor.co.in/Salary/EY-Salaries-E2784.htm,https://www.glassdoor.co.in/Jobs/EY-Jobs-E2784.htm,https://www.glassdoor.co.in/Benefits/EY-Benefits-E2784.htm,https://www.glassdoor.co.in/Photos/EY-Office-Photos-E2784.htm,https://www.glassdoor.co.in/Interview/EY-Interview-Questions-E2784.htm,https://www.glassdoor.co.in/FAQ/EY-Questions-E2784.htm,https://www.glassdoor.co.in/Overview/Working-at-EY-EI_IE2784.htm
